,SparkID,Полное наименование,Краткое наименование,Наименование на англ.,ИНН,КПП,ОГРН,Дата регистрации,Генеральный директор,Юридический адрес,Сайт,EMAIL,Телефоны,ОКВЭД_Код,ОКВЭД_Наименование,"тип МСП: 1-ЮЛ, 2-ИП",категория МСП,ПП
1891,10599741.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ВУДВОРКЕР""","ООО ""ВУДВОРКЕР""","OOO ""VUDVORKER""",7735153091,773501001,1167746498787,2016-05-25,Пейдус Василий Игоревич,"124498, г. Москва, г. Зеленоград корп. 435 ком. 2",,,,16.29.1,Производство прочих деревянных изделий,1,1,нет
2115,10902016.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ДИВАРТ ДЕКОР""","ООО ""ДИВАРТ ДЕКОР""","OOO ""DIVART DEKOR""",7702409848,770201001,5167746393667,2016-11-30,ГЮМЮШ ЙАСИР,"ГОРОД МОСКВА, УЛИЦА РОЖДЕСТВЕНКА, ДОМ 5/7, СТРОЕНИЕ 2, ПОМЕЩЕНИЕ V КОМНАТА 7 ЭТАЖ 3",,,,16.29.14,"Производство деревянных рам для картин, фотографий, зеркал или аналогичных предметов и прочих изделий из дерева",1,1,нет
2278,11562952.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СТРОЙСЕРВИС""","ООО ""СТРОЙСЕРВИС""","OOO ""STROISERVIS""",7716863547,771601001,1177746672476,,Степанов Дмитрий Сергеевич,"г. Москва, проезд Олонецкий, д. 18 корп. 1 пом. III",,,,16.24,Производство деревянной тары,1,1,нет
2306,11555617.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РЕГИОНЭНЕРГОСТРОЙ""","ООО ""РЕГИОНЭНЕРГОСТРОЙ""","OOO ""REGIONENERGOSTROI""",7708321251,770801001,1177746642589,,Новиков Константин Викторович,"г. Москва, ул. Краснопрудная, д. 12/1 стр. 1 пом. 38 ком. 3",,,4959989039,16.23.1,Производство деревянных строительных конструкций и столярных изделий,1,1,нет
2458,414788.0,"ЗАКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ПРОМЫШЛЕННО-СТРОИТЕЛЬНАЯ КОМПАНИЯ ""СТРОЙИНВЕСТ""","ЗАО ""ПСК ""СТРОЙИНВЕСТ""","AO ""PSK ""STROIINVEST""",7726233022,770301001,1037739370426,1996-10-15,Феофанов Сергей Николаевич,"123100, г. Москва, проезд Шмитовский, д. 13",www.st-verstak.ru,st-verstak@mail.ru,+7 (495) 5509494;,16.23,Производство прочих деревянных строительных конструкций и столярных изделий,1,1,нет
2489,516738.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СОЗИДАНИЕ ТВ""","ООО ""СОЗИДАНИЕ ТВ""",General Peat Company Ltd,7704196176,503801001,1037739055353,1999-02-22,Тебякин Вадим Евгеньевич,"141260, Московская обл, Пушкинский район, рабочий пос. Правдинский, ул. Фабричная, д. 4",,,+7 (499) 255 30 78;,16.23.1,Производство деревянных строительных конструкций и столярных изделий,1,1,нет
2502,8817914.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МАСТЕР""","ООО ""МАСТЕР""","OOO ""MASTER""",7704831131,770401001,1137746258022,2013-03-25,Зорин Александр Александрович,"119019, г. Москва, ул. Арбат, д. 1 этаж 1 пом. IV ком. 1",,,+7 (925) 895 91 16;,16.29.14,"Производство деревянных рам для картин, фотографий, зеркал или аналогичных предметов и прочих изделий из дерева",1,1,нет
2781,5667537.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ФОРСКЛАД""","ООО ""ФОРСКЛАД""","OOO ""FORSKLAD""",7724600510,773101001,1067760776819,2006-12-08,Каперская Ульяна Владимировна,"121359, г. Москва, ул. Партизанская, д. 40 кв. 109",forsklad.ru,,+7 (495) 7110140;,16.23.2,Производство сборных деревянных строений,1,1,нет
2782,5134539.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЕВРО-ТАРА""","ООО ""ЕВРО-ТАРА""","OOO ""EVRO-TARA""",7724561268,772401001,1057749114224,2005-11-17,Дмитриев Виталий Анатольевич,"115477, г. Москва, ул. Деловая, д. 20",www.euro-tara.ru,office@euro-tara.ru ,+7 (495) 5898845;,16.24,Производство деревянной тары,1,1,нет
2894,9761070.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ФАДОМ""","ООО ""ФАДОМ""","OOO ""FADOM""",7713390660,772901001,1157746095540,2015-02-11,САМСОНОВ ЮРИЙ АЛЕКСЕЕВИЧ,"ГОРОД МОСКВА, УЛИЦА ЛЕНИНСКИЕ ГОРЫ, ВЛАДЕНИЕ 1, СТРОЕНИЕ 75-Б, ЭТ 2 ПОМ 5",,,,16.23.1,Производство деревянных строительных конструкций и столярных изделий,1,1,нет
2983,10643506.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ДО-ПРОФ""","ООО ""ДО-ПРОФ""","OOO ""DO-PROF""",7704361824,770401001,1167746587964,2016-06-22,ЯБЛОКОВ ЮРИЙ АЛЕКСЕЕВИЧ,"ГОРОД МОСКВА, БУЛЬВАР НОВИНСКИЙ, ДОМ 18, СТРОЕНИЕ 1, ПОМЕЩЕНИЕ VIII",,,,16.23.1,Производство деревянных строительных конструкций и столярных изделий,1,1,нет
3165,11456845.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СВАЙВИНТСТРОЙ""","ООО ""СВАЙВИНТСТРОЙ""","OOO ""SVAIVINTSTROI""",7708315018,770801001,1177746374178,2017-04-12,ЯНДРИНСКИЙ АЛЕКСАНДР СЕРГЕЕВИЧ,"ГОРОД МОСКВА, УЛИЦА КРАСНОСЕЛЬСКАЯ ВЕРХН., ДОМ 13, СТРОЕНИЕ 1, ПОМЕЩЕНИЕ 14-15",,,+7 (495) 409 53 30;,16.23.1,Производство деревянных строительных конструкций и столярных изделий,1,1,нет
3166,11472643.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СТРОЙ-ДВОР""","ООО ""СТРОЙ-ДВОР""","OOO ""STROI-DVOR""",7709999346,770901001,1177746418794,2017-04-24,ХРЮКИН АЛЕКСАНДР РОМАНОВИЧ,"ГОРОД МОСКВА, УЛИЦА ПОКРОВКА, ДОМ 2/1, СТРОЕНИЕ 2, ЭТ 4 ПОМ 1 КАБ 4",,,+7 (925) 997 45 42;,16.23.2,Производство сборных деревянных строений,1,1,нет
3254,8119324.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СТАНДАРТ ВУД""","ООО ""СТАНДАРТ ВУД""","OOO ""STANDART VUD""",7701936746,770101001,1117746857524,2011-10-27,Савинцев Владимир Николаевич,"105094, г. Москва, ул. Гольяновская, д. 3А корп. 3 пом. VI; ком. 2",standartwood.ru,,+7 (925) 145 58 09; +7 (926) 316 33 53;,16.1,Распиловка и строгание древесины,1,1,нет
3329,335953.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МДФ-ТЕХНО""","ООО ""МДФ-ТЕХНО""","OOO ""MDF-TEKHNO""",7709037050,770901001,1027739757792,2002-12-11,ДУШИЧЕВ АЛЕКСЕЙ НИКОЛАЕВИЧ,"ГОРОД МОСКВА, УЛИЦА РАДИЩЕВСКАЯ ВЕРХН., 15",,,,16.10,Распиловка и строгание древесины,1,1,нет
3927,8266780.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КОНСТАНТА""","ООО ""КОНСТАНТА""","OOO ""KONSTANTA""",7705978401,770501001,1127746122624,2012-02-24,Егельский Александр Евгеньевич,"109074, г. Москва, проезд Китайгородский, д. 9 стр.2",,,,16.10,Распиловка и строгание древесины,1,1,нет
4157,4648224.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КОМПАНИЯ АЛЮСТЭМ""","ООО ""АЛЮСТЭМ""",ALUSTEM LTD.,7715557561,771501001,1057746442742,2005-03-16,ГОНЧАРОВ СЕРГЕЙ АЛЕКСАНДРОВИЧ,"ГОРОД МОСКВА, УЛИЦА НОВОДМИТРОВСКАЯ Б., 14, 2",www.alustem.ru,alustem@alustem.ru,+7 (901) 530 01 09; +7 (495) 737 33 79;,16.23,Производство прочих деревянных строительных конструкций и столярных изделий,1,1,нет
4196,1407195.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ВИ.АЙ.ПИ. РЕНЕССАНС""","ООО ""ВИ.АЙ.ПИ. РЕНЕССАНС""",W.I.P.RENAISSANCE,7727206712,772701001,1037739497256,2003-02-07,БОГДАНОВ ВАДИМ ГЕННАДЬЕВИЧ,"ГОРОД МОСКВА, УЛИЦА НОВОЧЕРЁМУШКИНСКАЯ, ЗА, 1, 18",lucky-yachts.ru,,+7 (495) 223 42 06; +7 (495) 355 93 09;,16.29.1,Производство прочих деревянных изделий,1,1,нет
4233,7673916.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МЕГАВОЛЬТ""","ООО ""МЕГАВОЛЬТ""","OOO ""MEGAVOLT""",7715835547,500301001,1107746895354,2010-11-02,Бикмурзин Дмитрий Разифович,"142702, Московская обл, Ленинский район, г. Видное, проезд Футбольный 2-Й, д. 11",мегаволт.рф,,+7 (965) 112 10 65;,16.10,Распиловка и строгание древесины,1,1,нет
4309,5416970.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РУССКИЙ ЛЕС""","ООО ""РУССКИЙ ЛЕС""","OOO ""RUSSKI LES""",7715603754,771501001,1067746641500,2006-05-29,КОНОНОВ АНДРЕЙ ВИКТОРОВИЧ,"ГОРОД МОСКВА, УЛИЦА ИЛИМСКАЯ, 4, 186",,ruslesan@inbox.ru,+7 (499) 209 34 46;,16.1,Распиловка и строгание древесины,1,1,да
4359,335721.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ПРОИЗВОДСТВЕННО-КОММЕРЧЕСКАЯ ФИРМА ""БАСТ""","ООО ПКФ ""БАСТ""","OOO PKF ""BAST""",7731180376,773101001,1027739754756,1994-09-12,БАНИН ВИКТОР НИКОЛАЕВИЧ,"121609, г. Москва, шоссе Рублёвское, д. 30 корп. 2 кв. 176",,,+7 (495) 125 02 31 ;,16.10.1,"Производство пиломатериалов, кроме профилированных, толщиной более 6 мм; производство непропитанных железнодорожных и трамвайных шпал из древесины",1,1,нет
4365,8602383.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГРУППА КОМПАНИЙ ""ТЕХНОЛОГИЯ""","ООО ""ГРУППА КОМПАНИЙ ""ТЕХНОЛОГИЯ""","OOO ""GRUPPA KOMPANI ""TEKHNOLOGIYA""",7721772920,772101001,1127747070329,2012-10-23,Христофорова Лидия Евгеньевна,"109156, г. Москва, ул. Генерала Кузнецова, д. 18 корп. 2 пом. XXIII",,,+7 (909) 646 64 49;,16.23,Производство прочих деревянных строительных конструкций и столярных изделий,1,1,нет
4460,106192.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ФИРМА ""СТЕЛЛА""","ООО ""ФИРМА ""СТЕЛЛА""","OOO ""FIRMA ""STELLA""",7708007454,502701001,1027739709612,2002-12-05,НЕПОЧАТОВА СВЕТЛАНА НИКОЛАЕВНА,"ОБЛАСТЬ МОСКОВСКАЯ, РАЙОН ЛЮБЕРЕЦКИЙ, ПОСЕЛОК КРАСКОВО, ПРОЕЗД НОВО-МАРУСИНСКИЙ, ДОМ 2/1, КАБИНЕТ 201",www.stella-drev.ru,,+7 (495) 745 38 22;,16.23,Производство прочих деревянных строительных конструкций и столярных изделий,1,1,нет
4925,5026074.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""Л.ТЭЙСИ""","ООО ""Л.ТЭЙСИ""","OOO ""L.TEISI""",7743568413,774301001,1057748011936,2005-08-29,Горбачева Лариса Николаевна,"125581, г. Москва, ул. Ляпидевского, д. 16",,,+7 (495) 601 75 02; +7 (495) 601 76 48;,16.29,"роизводство прочих деревянных изделий; производство изделий из пробки, соломки и материалов для плетения",1,1,нет
4988,11409953.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КОСМОГРУПП""","ООО ""КОСМОГРУПП""","OOO ""KOSMOGRUPP""",7725361110,772501001,1177746238680,2017-03-13,МОЛЯКОВА ЕЛЕНА БОРИСОВНА,"ГОРОД МОСКВА, ПЕРЕУЛОК КОЖЕВНИЧЕСКИЙ 2-Й, ДОМ 1, КОМНАТА 11",,,+7(965)2527400,16.10,Распиловка и строгание древесины,1,1,нет
5020,10712413.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""БОСЫ""","ООО ""БОСЫ""","OOO ""BOSY""",7716830968,771601001,1167746747134,2016-08-09,БАСАЙ ЕВГЕНИЙ ЮРЬЕВИЧ,"ГОРОД МОСКВА, ПРОЕЗД АНАДЫРСКИЙ, ДОМ 21, ПОМЕЩЕНИЕ VI КОМН 6",,,+7(915)3868009,16.29,"роизводство прочих деревянных изделий; производство изделий из пробки, соломки и материалов для плетения",1,1,нет
5165,7273080.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МААНХОНКА МСК""","ООО ""МААНХОНКА МСК""","OOO ""MAANKHONKA MSK""",7719739178,771901001,1097746809577,2009-12-16,Фирисюк Станислав Федорович,"105318, г. Москва, ул. Ткацкая, д. 5 стр.3",,,,16.23,Производство прочих деревянных строительных конструкций и столярных изделий,1,1,нет
5166,8107222.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПРОФПАЛЛЕТ""","ООО ""ПРОФПАЛЛЕТ""","OOO ""PROFPALLET""",7718863790,771801001,1117746834920,2011-10-20,Юсупов Амир Алиевич,"ГОРОД МОСКВА, УЛИЦА СУВОРОВСКАЯ, 6, СТР.5",,,,16.24,Производство деревянной тары,1,1,нет
5168,8532972.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МАЙ""","ООО ""МАЙ""","OOO ""MAI""",7728817295,772801001,1127746676551,2012-08-28,Евдокимова Оксана Михайловна,"117593, г. Москва, проезд Соловьиный, д. 8 стр.2",,,,16.1,Распиловка и строгание древесины,1,1,нет
5298,6119567.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЛЬ-ВИТРО""","ООО ""АЛЬ-ВИТРО""","OOO ""AL-VITRO""",7719650353,771901001,1077760665553,2007-09-27,Желудько Сергей Владимирович,"107023, г. Москва, пер. Барабанный, д. 4",,,,16.29.1,Производство прочих деревянных изделий,1,1,нет
5626,4559115.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГЕОКОН""","ООО ""ГЕОКОН""","OOO ""GEOKON""",7717524191,771701001,1057746038019,2005-01-13,Бражников Александр Олегович,"129626, г. Москва, ул. Староалексеевская, д. 7 пом. №4 ком. №5",,,+7 (926) 945 20 51;,16.21,"Производство шпона, фанеры, деревянных плит и панелей",1,1,нет
5641,6987733.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТАНАИС-СБ""","ООО ""ТАНАИС-СБ""","OOO ""TANAIS-SB""",7727685470,772701001,1097746108130,2009-03-02,Еремин Александр Николаевич,"117216, г. Москва, ул. Грина, д. 9",,,,16.1,Распиловка и строгание древесины,1,1,нет
5700,1588122.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ОГБИЗ""","ООО ""ОГБИЗ""","OGBIZ, LTD",7702332190,770201001,1037739684894,2002-03-19,Зарецкий Александр Викторович,"129110, г. Москва, ул. Трифоновская, д. 56 кв. 144",,,+7 (495) 222 22 22; +7 (495) 799 05 89; +7 (495) 681 52 78;,16.10.9,Предоставление услуг по пропитке древесины,1,1,нет
5853,9997145.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МОСТОК Б2""","ООО ""МОСТОК Б2""","OOO ""MOSTOK B2""",7710499362,771001001,1157746638983,2015-07-15,РЕЩИКОВ АНДРЕЙ ЮРЬЕВИЧ,"ГОРОД МОСКВА, УЛИЦА ФАДЕЕВА, ДОМ 7, СТРОЕНИЕ 1, ОФИС 2",,,+7(903)9601429,16.29.14,"Производство деревянных рам для картин, фотографий, зеркал или аналогичных предметов и прочих изделий из дерева",1,1,нет
5875,8083298.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""М8""","ООО ""М8""","OOO ""M8""",7716699022,771601001,1117746767698,2011-09-29,ЛЕЩЕНКО МИХАИЛ АЛЕКСАНДРОВИЧ,"ГОРОД МОСКВА, УЛИЦА ЛЁТЧИКА БАБУШКИНА, 1, 3, ОФИС 7",,,,16.23,Производство прочих деревянных строительных конструкций и столярных изделий,1,1,нет
5891,11916056.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЭВЕРЕСТ""","ООО ""ЭВЕРЕСТ""","OOO ""EVEREST""",7702431755,770201001,1187746484177,2018-05-17,НИКИФОРОВ ВИТАЛИЙ СЕРГЕЕВИЧ,"ГОРОД МОСКВА, ПЕРЕУЛОК НАПРУДНЫЙ, ДОМ 10, СТРОЕНИЕ 2, ЭТАЖ 2, КОМ. 4, РМ 3",,,,16.23.1,Производство деревянных строительных конструкций и столярных изделий,1,1,нет
5985,10030382.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""САПФИР""","ООО ""САПФИР""","OOO ""SAPFIR""",7713402410,771301001,1157746726917,2015-08-07,ПЕНКРАТ ВАЛЕРИЙ АЛЕКСАНДРОВИЧ,"ГОРОД МОСКВА, УЛИЦА ЛОБНЕНСКАЯ, ДОМ 14А",,,,16.23,Производство прочих деревянных строительных конструкций и столярных изделий,1,1,нет
